amount,log_amount,hour,is_night,km_from_last,same_device,velocity_2m,case_id,is_fraud,fraud_type
1000,6.90875477931522,12,0,10,1,0,fraud-case-001,False,NONE
15001,9.615938804529582,12,0,250,1,0,fraud-case-002,False,NONE
15000,9.61587214452889,12,0,300,1,0,fraud-case-003,False,NONE
15001,9.615938804529582,12,0,251,1,0,fraud-case-004,True,GEO_JUMP_HIGH_VALUE
1000,6.90875477931522,12,0,0,1,4,fraud-case-005,False,NONE
1000,6.90875477931522,12,0,0,1,5,fraud-case-006,True,VELOCITY_5_DEBITS_2M
20000,9.90353755128617,12,0,0,0,0,fraud-case-007,False,NONE
20001,9.90358754753646,12,0,0,0,0,fraud-case-008,True,NEW_DEVICE_HIGH_VALUE
100,4.61512051684126,12,0,0,1,0,fraud-case-009,True,WATCHLIST_PAYEE
40000,10.596659732783579,23,1,0,1,0,fraud-case-010,False,NONE
40001,10.596684731846114,23,1,0,1,0,fraud-case-011,True,NIGHT_HIGH_VALUE
48000,10.778977123006351,23,1,500,0,5,fraud-case-012,True,GEO_JUMP_HIGH_VALUE
25000,10.12667110305036,12,0,0,0,0,fraud-case-013,True,NEW_DEVICE_HIGH_VALUE
