transaction_id,customer_id,amount,direction,payee,mcc,category,lat,lng,device_id,ts,status,fraud_score,fraud_type,fraud_reason,is_new_payee,distance_from_previous_km,transactions_last_2m,transactions_last_1h,transactions_last_24h,hour_ist,is_night,same_device,velocity_2m,account_balance_before,account_balance_after
txn-0001-0000,customer-0001,28000,credit,Salary,,SALARY,23.0225,72.5714,device-0001,2026-09-01T09:31:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,28000,28000
txn-0001-0001,customer-0001,365,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-31T12:40:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,17,False,True,0,28000,28000
txn-0001-0002,customer-0001,380,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-30T10:49:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,28000,28000
txn-0001-0003,customer-0001,395,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-29T10:01:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,28000,28000
txn-0001-0004,customer-0001,410,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-28T09:15:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,28000,28000
txn-0001-0005,customer-0001,425,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-27T13:53:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,28000,28000
txn-0001-0006,customer-0001,440,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-26T13:03:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,28000,28000
txn-0001-0007,customer-0001,455,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-25T09:41:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,28000,28000
txn-0001-0008,customer-0001,470,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-24T10:42:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,28000,28000
txn-0001-0009,customer-0001,6200,debit,Emi,,EMI,23.0225,72.5714,device-0001,2026-08-23T09:40:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,28000,28000
txn-0001-0010,customer-0001,500,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-22T13:09:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,28000,28000
txn-0001-0011,customer-0001,515,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-21T12:49:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,17,False,True,0,28000,28000
txn-0001-0012,customer-0001,530,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-20T13:46:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,28000,28000
txn-0001-0013,customer-0001,545,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-19T13:48:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,28000,28000
txn-0001-0014,customer-0001,560,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-18T09:28:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,28000,28000
txn-0001-0015,customer-0001,575,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-17T09:32:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,28000,28000
txn-0001-0016,customer-0001,590,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-16T11:50:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,16,False,True,0,28000,28000
txn-0001-0017,customer-0001,605,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-15T13:34:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,28000,28000
txn-0001-0018,customer-0001,620,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-14T13:14:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,28000,28000
txn-0001-0019,customer-0001,635,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0001,2026-08-13T09:22:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,28000,28000
txn-0002-0000,customer-0002,28000,credit,Salary,,SALARY,23.0225,72.5714,device-0002,2026-09-01T12:51:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,17,False,True,0,18000,18000
txn-0002-0001,customer-0002,365,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-31T13:20:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,18000,18000
txn-0002-0002,customer-0002,380,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-30T09:54:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,18000,18000
txn-0002-0003,customer-0002,395,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-29T13:02:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,18000,18000
txn-0002-0004,customer-0002,410,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-28T12:45:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,17,False,True,0,18000,18000
txn-0002-0005,customer-0002,425,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-27T09:34:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,18000,18000
txn-0002-0006,customer-0002,440,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-26T10:16:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,18000,18000
txn-0002-0007,customer-0002,455,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-25T10:57:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,18000,18000
txn-0002-0008,customer-0002,470,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-24T10:05:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,18000,18000
txn-0002-0009,customer-0002,6200,debit,Emi,,EMI,23.0225,72.5714,device-0002,2026-08-23T13:48:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,18000,18000
txn-0002-0010,customer-0002,500,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-22T09:54:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,18000,18000
txn-0002-0011,customer-0002,515,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-21T10:58:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,18000,18000
txn-0002-0012,customer-0002,530,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-20T11:06:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,16,False,True,0,18000,18000
txn-0002-0013,customer-0002,545,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-19T11:48:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,16,False,True,0,18000,18000
txn-0002-0014,customer-0002,560,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-18T10:22:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,18000,18000
txn-0002-0015,customer-0002,575,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-17T11:43:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,16,False,True,0,18000,18000
txn-0002-0016,customer-0002,590,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-16T10:08:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,18000,18000
txn-0002-0017,customer-0002,605,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-15T09:54:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,18000,18000
txn-0002-0018,customer-0002,620,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-14T10:24:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,18000,18000
txn-0002-0019,customer-0002,635,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0002,2026-08-13T10:54:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,18000,18000
txn-0003-0000,customer-0003,28000,credit,Salary,,SALARY,23.0225,72.5714,device-0003,2026-09-01T13:29:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,4500,4500
txn-0003-0001,customer-0003,365,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-31T12:51:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,17,False,True,0,4500,4500
txn-0003-0002,customer-0003,380,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-30T09:55:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,4500,4500
txn-0003-0003,customer-0003,395,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-29T11:20:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,16,False,True,0,4500,4500
txn-0003-0004,customer-0003,410,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-28T11:41:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,16,False,True,0,4500,4500
txn-0003-0005,customer-0003,425,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-27T09:27:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,4500,4500
txn-0003-0006,customer-0003,440,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-26T09:19:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,4500,4500
txn-0003-0007,customer-0003,455,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-25T11:47:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,16,False,True,0,4500,4500
txn-0003-0008,customer-0003,470,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-24T10:59:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,4500,4500
txn-0003-0009,customer-0003,6200,debit,Emi,,EMI,23.0225,72.5714,device-0003,2026-08-23T12:37:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,17,False,True,0,4500,4500
txn-0003-0010,customer-0003,500,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-22T12:56:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,17,False,True,0,4500,4500
txn-0003-0011,customer-0003,515,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-21T09:35:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,4500,4500
txn-0003-0012,customer-0003,530,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-20T10:17:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,4500,4500
txn-0003-0013,customer-0003,545,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-19T10:12:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,4500,4500
txn-0003-0014,customer-0003,560,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-18T10:27:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,4500,4500
txn-0003-0015,customer-0003,575,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-17T13:48:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,4500,4500
txn-0003-0016,customer-0003,590,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-16T09:38:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,4500,4500
txn-0003-0017,customer-0003,605,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-15T10:50:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,4500,4500
txn-0003-0018,customer-0003,620,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-14T12:41:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,17,False,True,0,4500,4500
txn-0003-0019,customer-0003,635,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0003,2026-08-13T12:34:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,17,False,True,0,4500,4500
txn-0004-0000,customer-0004,28000,credit,Salary,,SALARY,23.0225,72.5714,device-0004,2026-09-01T09:39:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,22000,22000
txn-0004-0001,customer-0004,365,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-31T09:44:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,22000,22000
txn-0004-0002,customer-0004,380,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-30T10:37:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,22000,22000
txn-0004-0003,customer-0004,395,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-29T10:39:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,22000,22000
txn-0004-0004,customer-0004,410,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-28T12:05:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,17,False,True,0,22000,22000
txn-0004-0005,customer-0004,425,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-27T10:27:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,22000,22000
txn-0004-0006,customer-0004,440,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-26T09:46:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,22000,22000
txn-0004-0007,customer-0004,455,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-25T10:47:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,22000,22000
txn-0004-0008,customer-0004,470,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-24T12:35:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,17,False,True,0,22000,22000
txn-0004-0009,customer-0004,6200,debit,Emi,,EMI,23.0225,72.5714,device-0004,2026-08-23T13:29:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,22000,22000
txn-0004-0010,customer-0004,500,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-22T09:22:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,22000,22000
txn-0004-0011,customer-0004,515,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-21T09:32:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,22000,22000
txn-0004-0012,customer-0004,530,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-20T13:48:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,22000,22000
txn-0004-0013,customer-0004,545,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-19T10:49:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,22000,22000
txn-0004-0014,customer-0004,560,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-18T13:58:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,22000,22000
txn-0004-0015,customer-0004,575,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-17T13:17:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,22000,22000
txn-0004-0016,customer-0004,590,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-16T11:08:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,16,False,True,0,22000,22000
txn-0004-0017,customer-0004,605,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-15T09:52:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,14,False,True,0,22000,22000
txn-0004-0018,customer-0004,620,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-14T10:00:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,22000,22000
txn-0004-0019,customer-0004,635,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0004,2026-08-13T11:53:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,16,False,True,0,22000,22000
txn-0005-0000,customer-0005,28000,credit,Salary,,SALARY,23.0225,72.5714,device-0005,2026-09-01T12:08:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,17,False,True,0,65000,65000
txn-0005-0001,customer-0005,365,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0005,2026-08-31T10:25:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,15,False,True,0,65000,65000
txn-0005-0002,customer-0005,380,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0005,2026-08-30T13:18:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,65000,65000
txn-0005-0003,customer-0005,395,debit,Upi_Grocery,,UPI_GROCERY,23.0225,72.5714,device-0005,2026-08-29T13:31:00+00:00,posted,0.04,NONE,normal seeded activity,False,0.0,0,0,1,18,False,True,0,65000,65000
